url	judul	tanggal_akses	status	file
https://www.pikiran-rakyat.com/news/pr-019873894/catat-lokasinya-18-jalur-rawan-macet-bandung-saat-nataru-2025	Pikiran Rakyat 19-12-2025: 18 titik rawan macet Nataru 2025/2026 (Polrestabes)	2026-09-12	OK	Teks_pr_18_jalur.md
https://pasjabar.com/2026/04/05/jalan-macet-di-bandung-kawasan-terpadat-kopo-pasteur-dago/	PasJabar 05-04-2026: 6 kawasan termacet (Kopo, Pasteur, Dago, …)	2026-09-12	GAGAL 404 (isi hanya dari cuplikan hasil pencarian)	raw_pasjabar_6_kawasan.html
https://id.wikipedia.org/wiki/Trans_Metro_Bandung	Wikipedia ID: Trans Metro Bandung — 5 koridor utama + 2 feeder, BLUD UPTD Angkutan, pelacakan via BEMO	2026-09-12	OK	Teks_wiki_tmb.md
https://uptangkutan-bandung.id/news/trans-metro-bandung	BLUD UPTD Angkutan Dishub Kota Bandung: profil TMB, tarif Rp4.000/Rp2.000, daftar rute koridor & feeder	2026-09-12	OK	Teks_uptangkutan_tmb.md
https://bemo.uptangkutan-bandung.id/	BEMO — Bandung Easy Mobility (peta posisi bus TMB/Bandros/bus sekolah real-time)	2026-09-12	OK (aplikasi peta; data via JS, tidak ada feed GTFS-RT publik terdokumentasi)	raw_bemo.html
https://lskk.co.id/bemo-bandung-easy-mobility/	LSKK (pengembang BEMO, Bandung): fitur pelacakan real-time armada	2026-09-12	OK	Teks_lskk_bemo.md
https://en.wikipedia.org/wiki/Metro_Jabar_Trans	Wikipedia EN: Metro Jabar Trans (BRT Bandung Raya, BTS Kemenhub; 6 koridor + 2 feeder; berbayar sejak 31-10-2022)	2026-09-12	OK	Teks_wiki_mjt.md
https://mjt.trans.my.id/pis/web	Passenger Information System Metro Jabar Trans (live tracking bus)	2026-09-12	OK (aplikasi web; data via JS)	raw_mjt_live.html
https://github.com/udotdevelopment/ATSPM	UDOT ATSPM v4.x (deprecated) — README & pohon repo via API GitHub	2026-09-12	OK	../02_Panduan_Praktis_Standar/ATSPM_UDOT_GitHub_tree_v4_api.json
https://github.com/OpenSourceTransportation/Atspm	ATSPM v5 (penerus, aktif) — pohon repo via API GitHub	2026-09-12	OK	../02_Panduan_Praktis_Standar/ATSPM_OpenSourceTransportation_GitHub_tree_v5_api.json
https://lpse.bandung.go.id/eproc4/lelang	LPSE Kota Bandung — pencarian paket ATCS	2026-09-12	TIDAK DIAKSES (aplikasi JS; pencarian web tidak menemukan paket/vendor ATCS Kota Bandung)	—
